timestamp	experiment_id	status	base_model	level0_arch	depth	seed	width	variance_explained	pwmcc	mmcs	pwmcc_null_mean	pwmcc_null_std	dead_latent_fraction	gpu_hours	commit_sha	wandb_run_url	notes
2026-04-23T06:33:44.636164+00:00	null_gpt2_d2_s1	scaffold_stub	openai-community/gpt2	none	2	1	3072							1.32455e-09	e0c9e1e		train_null_sae body not yet implemented
2026-04-23T06:33:51.959816+00:00	null_gpt2_d2_s2	scaffold_stub	openai-community/gpt2	none	2	2	3072							1.32455e-09	e0c9e1e		train_null_sae body not yet implemented
2026-04-23T06:33:59.363319+00:00	flat_gemma_w1024_s0	scaffold_stub	google/gemma-2-2b	batchtopk	3	0	1024							1.32455e-09	e0c9e1e		train_flat_sae body not yet implemented
2026-04-23T06:34:06.745468+00:00	flat_gemma_w1024_s1	scaffold_stub	google/gemma-2-2b	batchtopk	3	1	1024							1.39078e-09	e0c9e1e		train_flat_sae body not yet implemented
2026-04-23T06:34:14.099352+00:00	flat_gemma_w1024_s2	scaffold_stub	google/gemma-2-2b	batchtopk	3	2	1024							1.32455e-09	e0c9e1e		train_flat_sae body not yet implemented
2026-04-23T06:34:21.517124+00:00	null_gemma_d3_s0	scaffold_stub	google/gemma-2-2b	none	3	0	1024							1.25832e-09	e0c9e1e		train_null_sae body not yet implemented
2026-04-23T06:34:28.901391+00:00	null_gemma_d3_s1	scaffold_stub	google/gemma-2-2b	none	3	1	1024							1.32455e-09	e0c9e1e		train_null_sae body not yet implemented
2026-04-23T06:34:36.224151+00:00	null_gemma_d3_s2	scaffold_stub	google/gemma-2-2b	none	3	2	1024							1.25832e-09	e0c9e1e		train_null_sae body not yet implemented
2026-04-23T06:34:43.581448+00:00	null_gpt2_d3_s0	scaffold_stub	openai-community/gpt2	none	3	0	768							1.19209e-09	e0c9e1e		train_null_sae body not yet implemented
2026-04-23T06:34:50.978087+00:00	null_gpt2_d3_s1	scaffold_stub	openai-community/gpt2	none	3	1	768							1.12587e-09	e0c9e1e		train_null_sae body not yet implemented
